TaxonName,Family,AccNoFull,ItemNo,ItemLocationCode,ItemStatus,ItemStatusDate,Lifeform,Longevity,Group
Acer saccharinum,Sapindaceae,10005603,A,NW6-4,Seen,1/14/2020,Tree,Perennial,Dicot
Acer saccharinum,Sapindaceae,19702112,A,SW15,Seen,4/17/2020,Tree,Perennial,Dicot
Achillea millefolium,Asteraceae,10006144,A,SW9-28,Inspected,9/17/2013,Herbaceous,Perennial,Dicot
Achillea millefolium,Asteraceae,10006915,A,NE18-11,Inspected,12/12/2019,Herbaceous,Perennial,Dicot
Achyranthes aspera,Amaranthaceae,20172679,A,NW15-5.3,Planted,7/13/2017,Herbaceous,Perennial,Dicot
Ageratina altissima,Asteraceae,20090556,A,NW6-3,Inspected,11/22/2018,Herbaceous,Perennial,Dicot
Ageratina altissima,Asteraceae,20100263,A,SW9-24,Inspected,3/11/2020,Herbaceous,Perennial,Dicot
Ageratina aromatica,Asteraceae,19790200,A,SE5-2,Inspected,4/4/2019,Herbaceous,Perennial,Dicot
Ageratina aromatica,Asteraceae,19790200,B,NW2-1,Moved,10/22/2019,Herbaceous,Perennial,Dicot
Amorpha canescens,Fabaceae,19860401,A,SW12-1,Seen,1/7/2020,Herbaceous,Perennial,Dicot
Andropogon gerardii,Poaceae,10005237,A,SW8-34,Inspected,9/18/2019,Herbaceous,Perennial,Grass
Andropogon gerardii,Poaceae,10005237,E,NW2-3,Planted,3/12/2020,Herbaceous,Perennial,Grass
Andropogon gerardii,Poaceae,10005237,D,NW26-11,Divided,11/8/2019,Herbaceous,Perennial,Grass
Anemonella thalictroides,Ranunculaceae,20180404,B,NW6-6,Planted,10/22/2020,Herbaceous,Perennial,Dicot
Anemonella thalictroides,Ranunculaceae,20180404,A,NW28-12,Planted,4/29/2019,Herbaceous,Perennial,Dicot
Anemonella thalictroides,Ranunculaceae,20180404,C,NW14-4,Planted,5/13/2021,Herbaceous,Perennial,Dicot
Arisaema triphyllum,Araceae,20100469,B,NW6-3,Planted,4/4/2017,Herbaceous,Perennial,Dicot
Arisaema triphyllum,Araceae,20160866,A,NW28-11,Inspected,2/1/2019,Herbaceous,Perennial,Dicot
Artemisia ludoviciana,Asteraceae,10006018,A,SE7-6,Seen,4/10/2019,Herbaceous,Perennial,Dicot
Artemisia ludoviciana,Asteraceae,10006403,A,SW9-28,Inspected,9/17/2013,Herbaceous,Perennial,Dicot
Artemisia ludoviciana,Asteraceae,10006018,B,SE8-1,Planted,6/3/2019,Herbaceous,Perennial,Dicot
Asclepias syriaca,Apocynaceae,19940466,A,SW7-2,Inspected,8/12/2021,Herbaceous,Perennial,Dicot
Asclepias syriaca,Apocynaceae,19940466,B,SE5-2,Inspected,9/28/2016,Herbaceous,Perennial,Dicot
Asclepias tuberosa,Apocynaceae,20000761,A,NW28-12,Planted,5/2/2018,Herbaceous,Perennial,Dicot
Asclepias tuberosa,Apocynaceae,20000761,B,NW11-8,Inspected,7/13/2018,Herbaceous,Perennial,Dicot
