AccYear,AccNo,AccNoFull,ItemNo,TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,Family,ProvenanceCode,ContactCode,ContactNameFull,ItemLocationCode,ItemCoordLatDD,ItemCoordLongDD,ItemCoordX,ItemCoordY,ItemComment,AtrA_Garden_coll,PopNo,PopSpecNo,CollNo,CollDate,Collector,AccComment,CountryCode,CountryName,Subdiv1,Subdiv2,Locality,LocExtRef,Habitat,AltitudeFrom,AltitudeTo,AltitudeUnit,CoordLatDD,CoordLongDD,Datum,ItemType,ItemStatus,TaxonDistribution,OriginName,OriginRef,RecDate,Parent1TaxonName
1000,5233,10005233,A,Stipa calamagrostis,Stipa,calamagrostis,,,,,Poaceae,G,5885,Unknown Source,SW8-33,52.192698,0.125192,52.192698,0.125192,,,,,,,,Notes: First date given: July 1956. Tribe 5 Agrostideae. Accession of plant of unknown source by P. Atkinson 30 October 2001.,,,,,,,,,,,,,,Planting,Inspected,S Europe,Unknown Source,,,
1000,5237,10005237,A,Andropogon gerardii,Andropogon,gerardii,,,,,Poaceae,G,6098,R.G. Hughes,SW8-34,52.1927,0.125039,52.1927,0.125039,,,,,,,,Notes: as A. gerardi c. 1951. Tribe 13 Andropogoneae. Accession of plant without accession number by P. Atkinson 30 October 2001. First record 1951.,,,,,,,,,,,,,,Planting,Inspected,N America,"Hughes, R.G.",,1951,
1000,5264,10005264,A,Stipa splendens,Stipa,splendens,,,,,Poaceae,G,5885,Unknown Source,SW8-33,52.192683,0.125181,52.192683,0.125181,,,,,,,,Notes: First date given: July 1956. Tribe 5 Agrostideae. Reaccession of plant of unknown source by P. Atkinson 8 Jan 2002.,,,,,,,,,,,,,,Planting,Inspected,N & C Asia,Unknown Source,,,
1000,5270,10005270,A,Miscanthus sacchariflorus,Miscanthus,sacchariflorus,,,,,Poaceae,G,5885,Unknown Source,SW8-34,52.192727,0.125016,52.192727,0.125016,,,,,,,,Notes: Tribe 13 Andropogoneae. Present 1956. Reaccession of plant of unknown source by P. Atkinson 25 Jan 2002.,,,,,,,,,,,,,,Planting,Inspected,NE Asia,Unknown Source,,,
1000,5974,10005974,A,Cortaderia selloana,Cortaderia,selloana,,,,,Poaceae,U,5885,Unknown Source,SW8-39,,,,,,,,,,,,Notes: 2 clumps in 1989. Tribe 2 Festuceae. Accession of plant of unknown source by P. Atkinson 2 Feb. 2004.,,,,,,,,,,,,,,Planting,Inspected,Temperate S America,Unknown Source,,,
1000,6173,10006173,A,Schizachyrium scoparium,Schizachyrium,scoparium,,,,,Poaceae,G,6098,R.G. Hughes,SW8-34,52.192686,0.125054,52.192686,0.125054,,,,,,,,Notes: Received c. 1951. Tribe 13 Andropogoneae. May be var. littoralis (P.F. Yoe 1957.) .,,,,,,,,,,,,,,Planting,Inspected,,"Hughes, R.G.",,1951,
1000,6270,10006270,A,Arundo donax,Arundo,donax,,,,,Poaceae,U,5885,Unknown Source,SW8-34,52.192835,0.124975,52.192835,0.124975,,,,,,,,Notes: Accession of plant of unknown source by P. Atkinson 3 May 2005.,,,,,,,,,,,,,,Planting,Inspected,Mediterranean,Unknown Source,,,
1000,6271,10006271,A,Bouteloua curtipendula,Bouteloua,curtipendula,,,,,Poaceae,G,6098,R.G. Hughes,SW8-34,52.192675,0.125109,52.192675,0.125109,,,,,,,,Notes: Tribe 7 Chlorideae. Accession of plant of unknown source by P. Atkinson 3 May 2005.,,,,,,,,,,,,,,Planting,Inspected,N America,"Hughes, R.G.",,,
1000,6272,10006272,A,Cynodon dactylon,Cynodon,dactylon,,,,,Poaceae,U,6398,Professor J.G. Tutin,SW8-34,52.192667,0.125121,52.192667,0.125121,,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,Cosmopolitan,"Tutin, J.G.",,,
1000,6273,10006273,A,Eragrostis curvula,Eragrostis,curvula,,,,,Poaceae,U,6399,Hughes,SW8-34,52.192645,0.125144,52.192645,0.125144,,,,,,,,Notes: Small isolated tussock in SYB. Tribe 2 Festuceae. Accession of plant of unknown source by P. Atkinson 4 May 2005. .,,,,,,,,,,,,,,Planting,Inspected,Tropical Africa,Hughes,,,
