"","Site","GenusSpecies"
"3","Alapaha","Ilex glabra"
"4","Alapaha","Serenoa repens"
"5","Alapaha","Pteridium aquilinum"
"6","Alapaha","Gaylussacia dumosa"
"7","Alapaha","Lyonia lucida"
"8","Alapaha","Lyonia mariana"
"9","Alapaha","Vaccinium myrsinites"
"10","Alapaha","Lyonia fruticosa"
"11","Alapaha","Rhexia lutea"
"12","Alapaha","Morella cerifera"
"13","Alapaha","Pinus elliottii"
"14","Alapaha","Aristida stricta"
"15","Alapaha","Sporobolus curtissii"
"16","Alapaha","Andropogon virginicus"
"17","Alapaha","Ctenium aromaticum"
"18","Alapaha","Prunus virginiana"
"19","Alapaha","Acer rubrum"
"20","Alapaha","Smilax laurifolia"
"21","Alapaha","Symplocos tinctoria"
"22","Alapaha","Quercus NA"
"52","Alapaha","Quercus pumila"
"54","Alapaha","Rhexia mariana"
"57","Alapaha","Lyonia NA"
"78","Alapaha","Pityopsis graminifolia"
"79","Alapaha","Carphephorus odoratissimus"
"80","Alapaha","Helianthus radula"
"81","Alapaha","Elephantopus elatus"
"82","Alapaha","Erigeron canadensis"
"83","Alapaha","Pterocaulon virgatum"
"87","Alapaha","Eriocaulon lineare"
"88","Alapaha","Sabatia brevifolia"
"89","Alapaha","Tephrosia virginiana"
"98","Alapaha","Sorghastrum secundum"
"99","Alapaha","Schizachyrium scoparium"
"100","Alapaha","Schizachyrium tenerum"
"101","Alapaha","Rubus cuneifolius"
"105","Alapaha","Eupatorium NA"
"107","Alapaha","Panicum NA"
"141","Alapaha","Bigelowia nudata"
"147","Alapaha","Lachnocaulon anceps"
"148","Alapaha","Persea borbonia"
"153","Alapaha","Sporobolus floridanus"
"155","Alapaha","Panicum virgatum"
"157","Alapaha","Sarracenia flava"
"202","Alapaha","Pityopsis aspera"
"207","Alapaha","Nyssa sylvatica"
"215","Alapaha","Tragia urens"
"216","Alapaha","Chamaecrista nictitans"
"217","Alapaha","Baptisia tinctoria"
"218","Alapaha","Desmodium ciliare"
"230","Alapaha","Aristida purpurascens"
"233","Alapaha","Liatris NA"
"237","Alapaha","Sapindus NA"
"238","Alapaha","Scutellaria NA"
"239","Alapaha","Solidago NA"
"240","Alapaha","Vitis NA"
